"Stadium","Year","Spectator Count","Duration of Game","Stadium Capacity","Capacity Percentage"
"Rogers Centre",2024,39053,140,41500,94.1
"Rogers Centre",2024,29907,163,41500,72.07
"Rogers Centre",2024,34791,188,41500,83.83
"Rogers Centre",2022,18577,174,41500,44.76
"Rogers Centre",2021,14988,182,41500,36.12
"Rogers Centre",2024,27057,196,41500,65.2
"Rogers Centre",2023,32930,151,41500,79.35
"Rogers Centre",2024,27910,155,41500,67.25
"Rogers Centre",2024,39688,159,41500,95.63
"Rogers Centre",2023,41643,211,41500,100.34
"Rogers Centre",2021,14947,193,41500,36.02
"Rogers Centre",2021,12153,149,41500,29.28
"Rogers Centre",2023,37218,150,41500,89.68
"Sutter Health Park",2024,9299,150,14014,66.36
"Sutter Health Park",2022,3203,164,14014,22.86
"Sutter Health Park",2022,6330,159,14014,45.17
"Sutter Health Park",2022,9367,147,14014,66.84
"Sutter Health Park",2023,8680,170,14014,61.94
"Sutter Health Park",2021,5777,160,14014,41.22
"Sutter Health Park",2024,14524,155,14014,103.64
"Sutter Health Park",2021,5487,179,14014,39.15
"Sutter Health Park",2023,7133,175,14014,50.9
"Sutter Health Park",2024,10380,188,14014,74.07
"Sutter Health Park",2021,12288,217,14014,87.68
"Sutter Health Park",2022,12910,201,14014,92.12
"Sutter Health Park",2023,8942,176,14014,63.81
"Sutter Health Park",2021,13070,172,14014,93.26
"Sutter Health Park",2021,8147,170,14014,58.13
"Sutter Health Park",2021,10648,203,14014,75.98
"Sutter Health Park",2021,10436,208,14014,74.47
"Sutter Health Park",2021,10029,200,14014,71.56
"Sutter Health Park",2021,6469,190,14014,46.16
"Sutter Health Park",2023,5116,139,14014,36.51
"Sutter Health Park",2021,6653,215,14014,47.47
"Sutter Health Park",2022,5440,134,14014,38.82
"Sutter Health Park",2022,13992,150,14014,99.84
"Sutter Health Park",2023,14181,154,14014,101.19
"Sutter Health Park",2022,14668,209,14014,104.67
"Sutter Health Park",2023,13102,154,14014,93.49
"Sutter Health Park",2022,3748,191,14014,26.74
"Sutter Health Park",2023,3871,139,14014,27.62
"Sutter Health Park",2024,8533,140,14014,60.89
"Sutter Health Park",2024,3938,142,14014,28.1
"Sutter Health Park",2021,2944,165,14014,21.01
"Sutter Health Park",2024,12769,178,14014,91.12
"Sutter Health Park",2021,13037,169,14014,93.03
"Sutter Health Park",2024,6964,134,14014,49.69
"Sutter Health Park",2023,2583,150,14014,18.43
"Sutter Health Park",2022,7282,165,14014,51.96
"Sutter Health Park",2022,3901,160,14014,27.84
"Sutter Health Park",2024,5896,144,14014,42.07
"Sutter Health Park",2024,3965,187,14014,28.29
"Sutter Health Park",2024,5508,139,14014,39.3
"Sutter Health Park",2022,4696,202,14014,33.51
"Sutter Health Park",2024,4118,150,14014,29.38
"Sutter Health Park",2023,9776,158,14014,69.76
"Sutter Health Park",2021,8147,223,14014,58.13
"Sutter Health Park",2023,6160,153,14014,43.96
"Sutter Health Park",2023,4757,132,14014,33.94
"Sutter Health Park",2022,2815,201,14014,20.09
"Sutter Health Park",2022,7737,167,14014,55.21
"Sutter Health Park",2023,11231,156,14014,80.14
"Sutter Health Park",2024,4557,155,14014,32.52
"Sutter Health Park",2024,15961,147,14014,113.89
"Sutter Health Park",2022,11232,164,14014,80.15
"Sutter Health Park",2023,7793,166,14014,55.61
"Sutter Health Park",2023,4714,167,14014,33.64
"Sutter Health Park",2023,8230,138,14014,58.73
"Sutter Health Park",2024,5581,171,14014,39.82
"Sutter Health Park",2024,9158,140,14014,65.35
"Sutter Health Park",2024,14978,150,14014,106.88
"Sutter Health Park",2024,9676,151,14014,69.05
"Sutter Health Park",2024,9551,150,14014,68.15
"Sutter Health Park",2022,11701,164,14014,83.5
"Sutter Health Park",2024,7809,163,14014,55.72
"Sutter Health Park",2024,3617,189,14014,25.81
"Sutter Health Park",2023,6575,211,14014,46.92
"Sutter Health Park",2021,4140,187,14014,29.54
"Sutter Health Park",2021,5182,172,14014,36.98
"Sutter Health Park",2021,4149,178,14014,29.61
"Sutter Health Park",2024,14669,225,14014,104.67
"Sutter Health Park",2023,3095,161,14014,22.09
"Sutter Health Park",2022,12719,198,14014,90.76
"Sutter Health Park",2021,4838,189,14014,34.52
"Sutter Health Park",2023,13709,151,14014,97.82
"Sutter Health Park",2022,8772,208,14014,62.59
"Sutter Health Park",2022,10936,166,14014,78.04
"Sutter Health Park",2021,4102,203,14014,29.27
"Sutter Health Park",2021,4966,196,14014,35.44
"Sutter Health Park",2024,9654,148,14014,68.89
"Sutter Health Park",2021,6917,162,14014,49.36
"Sutter Health Park",2023,2064,155,14014,14.73
"Sutter Health Park",2023,6429,139,14014,45.88
"Sutter Health Park",2021,12361,178,14014,88.2
"Sutter Health Park",2024,4390,167,14014,31.33
"Sutter Health Park",2023,6423,176,14014,45.83
"Sutter Health Park",2021,14856,171,14014,106.01
"Sutter Health Park",2021,2865,189,14014,20.44
"Sutter Health Park",2022,5332,186,14014,38.05
"Sutter Health Park",2023,12112,173,14014,86.43
"Sutter Health Park",2022,8753,178,14014,62.46
"Sutter Health Park",2023,15757,144,14014,112.44
"Sutter Health Park",2024,5112,184,14014,36.48
"Sutter Health Park",2024,9735,134,14014,69.47
"Sutter Health Park",2024,2895,146,14014,20.66
"Sutter Health Park",2021,6228,176,14014,44.44
"Sutter Health Park",2024,8526,179,14014,60.84
"Sutter Health Park",2024,12167,160,14014,86.82
"Sutter Health Park",2022,11494,173,14014,82.02
"Sutter Health Park",2022,4251,169,14014,30.33
"Sutter Health Park",2021,3322,128,14014,23.7
"Sutter Health Park",2023,6810,160,14014,48.59
"Sutter Health Park",2022,2630,164,14014,18.77
"Sutter Health Park",2024,13522,142,14014,96.49
"Sutter Health Park",2021,6931,169,14014,49.46
"Sutter Health Park",2024,10617,144,14014,75.76
"Sutter Health Park",2024,3330,155,14014,23.76
"Sutter Health Park",2024,3924,135,14014,28
"Sutter Health Park",2022,10058,153,14014,71.77
"Sutter Health Park",2023,9293,161,14014,66.31
"Sutter Health Park",2023,4972,161,14014,35.48
"Sutter Health Park",2022,4028,166,14014,28.74
"Sutter Health Park",2021,5446,214,14014,38.86
"Sutter Health Park",2022,11107,223,14014,79.26
"Sutter Health Park",2021,3611,190,14014,25.77
"Sutter Health Park",2022,5414,193,14014,38.63
"Sutter Health Park",2024,6618,151,14014,47.22
"Sutter Health Park",2023,12425,189,14014,88.66
"Sutter Health Park",2024,14031,171,14014,100.12
"Sutter Health Park",2023,13025,154,14014,92.94
"Sutter Health Park",2024,4971,135,14014,35.47
"Sutter Health Park",2023,4159,171,14014,29.68
"Sutter Health Park",2021,9022,210,14014,64.38
"Sutter Health Park",2023,7923,208,14014,56.54
"Sutter Health Park",2021,5803,204,14014,41.41
"Sutter Health Park",2022,11083,176,14014,79.09
"Sutter Health Park",2021,7060,188,14014,50.38
"Sutter Health Park",2024,4005,137,14014,28.58
"Sutter Health Park",2022,12084,181,14014,86.23
"Sutter Health Park",2021,4538,151,14014,32.38
"Sutter Health Park",2023,14876,195,14014,106.15
"Sutter Health Park",2023,7052,174,14014,50.32
"Sutter Health Park",2021,3019,184,14014,21.54
"Sutter Health Park",2021,7707,192,14014,55
"Sutter Health Park",2022,4838,159,14014,34.52
"Sutter Health Park",2024,7013,151,14014,50.04
"Sutter Health Park",2023,7055,176,14014,50.34
"Sutter Health Park",2023,13050,156,14014,93.12
"Sutter Health Park",2023,4930,178,14014,35.18
"Sutter Health Park",2022,16041,175,14014,114.46
"Sutter Health Park",2021,4739,161,14014,33.82
"Sutter Health Park",2021,7157,205,14014,51.07
"Sutter Health Park",2023,2685,187,14014,19.16
"Sutter Health Park",2021,3925,198,14014,28.01
"Sutter Health Park",2023,8809,157,14014,62.86
"Sutter Health Park",2022,6620,173,14014,47.24
"Sutter Health Park",2022,8342,218,14014,59.53
"Sutter Health Park",2024,3296,149,14014,23.52
"Sutter Health Park",2021,3405,256,14014,24.3
"Sutter Health Park",2022,8189,187,14014,58.43
"Sutter Health Park",2022,13942,187,14014,99.49
"Sutter Health Park",2021,7678,198,14014,54.79
"Sutter Health Park",2024,5624,168,14014,40.13
"Sutter Health Park",2021,8757,171,14014,62.49
"Sutter Health Park",2024,8753,143,14014,62.46
"Sutter Health Park",2022,10190,194,14014,72.71
"Sutter Health Park",2022,6502,195,14014,46.4
"Sutter Health Park",2022,5130,184,14014,36.61
"Sutter Health Park",2021,2970,138,14014,21.19
"Sutter Health Park",2023,9987,157,14014,71.26
"Sutter Health Park",2024,14694,143,14014,104.85
"Sutter Health Park",2022,9314,208,14014,66.46
"Sutter Health Park",2021,4562,206,14014,32.55
"Sutter Health Park",2023,14718,167,14014,105.02
"Sutter Health Park",2024,5425,181,14014,38.71
"Sutter Health Park",2023,3407,161,14014,24.31
"Sutter Health Park",2024,3876,142,14014,27.66
"Sutter Health Park",2023,4751,154,14014,33.9
"Sutter Health Park",2021,11985,200,14014,85.52
"Sutter Health Park",2022,14945,193,14014,106.64
"Sutter Health Park",2024,11276,152,14014,80.46
"Sutter Health Park",2021,4504,195,14014,32.14
"Sutter Health Park",2024,5142,150,14014,36.69
"Sutter Health Park",2023,10534,186,14014,75.17
"Sutter Health Park",2022,10876,214,14014,77.61
"Sutter Health Park",2021,9154,181,14014,65.32
"Sutter Health Park",2024,6436,141,14014,45.93
"Sutter Health Park",2024,8637,165,14014,61.63
"Sutter Health Park",2022,14341,166,14014,102.33
"Sutter Health Park",2024,5867,138,14014,41.87
"Sutter Health Park",2021,4508,189,14014,32.17
"Sutter Health Park",2023,14507,177,14014,103.52
"Sutter Health Park",2021,8572,175,14014,61.17
"Sutter Health Park",2023,6372,137,14014,45.47
"Sutter Health Park",2022,9626,199,14014,68.69
"Sutter Health Park",2024,14574,149,14014,104
"Sutter Health Park",2024,6886,192,14014,49.14
"Sutter Health Park",2023,9235,200,14014,65.9
"Sutter Health Park",2022,9351,195,14014,66.73
"Sutter Health Park",2023,13345,143,14014,95.23
"Sutter Health Park",2023,12479,150,14014,89.05
"Sutter Health Park",2024,11596,159,14014,82.75
"Sutter Health Park",2024,9285,147,14014,66.26
"Sutter Health Park",2022,4591,196,14014,32.76
