"Stadium","Year","Spectator Count","Duration of Game","Stadium Capacity","Capacity Percentage"
"Great American Ball Park",2022,11051,181,43500,25.4
"Great American Ball Park",2023,44073,211,43500,101.32
"Great American Ball Park",2024,40663,164,43500,93.48
"Great American Ball Park",2023,19205,130,43500,44.15
"Great American Ball Park",2024,30388,161,43500,69.86
"Great American Ball Park",2023,31191,156,43500,71.7
"Great American Ball Park",2023,8810,156,43500,20.25
"Great American Ball Park",2023,17780,137,43500,40.87
"Great American Ball Park",2021,23941,192,43500,55.04
"Great American Ball Park",2021,11862,197,43500,27.27
"Great American Ball Park",2021,16021,264,43500,36.83
"Great American Ball Park",2022,19032,189,43500,43.75
"Great American Ball Park",2023,30811,165,43500,70.83
"Great American Ball Park",2021,40854,192,43500,93.92
"Great American Ball Park",2023,27465,172,43500,63.14
"Great American Ball Park",2022,16380,202,43500,37.66
"Great American Ball Park",2021,8025,220,43500,18.45
"Great American Ball Park",2024,10388,132,43500,23.88
"Great American Ball Park",2023,35177,162,43500,80.87
"Great American Ball Park",2024,40074,176,43500,92.12
"Great American Ball Park",2021,11004,182,43500,25.3
"Great American Ball Park",2023,22352,155,43500,51.38
"Great American Ball Park",2024,18214,171,43500,41.87
"Great American Ball Park",2022,17344,202,43500,39.87
"Great American Ball Park",2023,25485,178,43500,58.59
"Great American Ball Park",2022,27190,207,43500,62.51
"Great American Ball Park",2024,32737,169,43500,75.26
"Great American Ball Park",2022,20439,190,43500,46.99
"Great American Ball Park",2021,11836,189,43500,27.21
"Great American Ball Park",2021,12084,123,43500,27.78
"Great American Ball Park",2021,19430,240,43500,44.67
"Great American Ball Park",2022,12799,160,43500,29.42
"Great American Ball Park",2024,13590,170,43500,31.24
"Great American Ball Park",2022,26755,194,43500,61.51
"Great American Ball Park",2022,25001,186,43500,57.47
"Great American Ball Park",2021,17086,205,43500,39.28
"Great American Ball Park",2023,19229,156,43500,44.2
"Great American Ball Park",2024,37146,150,43500,85.39
"Great American Ball Park",2023,40625,140,43500,93.39
"Great American Ball Park",2022,13622,147,43500,31.31
"Great American Ball Park",2022,11417,184,43500,26.25
"Great American Ball Park",2021,29001,201,43500,66.67
"Great American Ball Park",2023,24323,158,43500,55.91
"Great American Ball Park",2024,25935,156,43500,59.62
"Great American Ball Park",2022,18476,176,43500,42.47
"Great American Ball Park",2021,26621,189,43500,61.2
"Great American Ball Park",2021,34671,155,43500,79.7
"Great American Ball Park",2024,25861,154,43500,59.45
"Great American Ball Park",2023,37551,214,43500,86.32
"Great American Ball Park",2023,22602,186,43500,51.96
"Great American Ball Park",2021,23740,172,43500,54.57
"Great American Ball Park",2021,28926,154,43500,66.5
"Great American Ball Park",2022,11957,198,43500,27.49
"Great American Ball Park",2023,22306,171,43500,51.28
"Great American Ball Park",2021,12213,204,43500,28.08
"Great American Ball Park",2022,11851,206,43500,27.24
"Great American Ball Park",2024,27692,175,43500,63.66
"Great American Ball Park",2022,28606,172,43500,65.76
"Great American Ball Park",2024,26656,158,43500,61.28
"Great American Ball Park",2021,13989,165,43500,32.16
"Great American Ball Park",2021,23765,182,43500,54.63
"Great American Ball Park",2021,21696,195,43500,49.88
"Great American Ball Park",2024,31464,165,43500,72.33
"Great American Ball Park",2022,11387,152,43500,26.18
"Great American Ball Park",2024,39674,175,43500,91.2
"Great American Ball Park",2023,31824,186,43500,73.16
"Great American Ball Park",2022,14635,173,43500,33.64
"Great American Ball Park",2021,10247,190,43500,23.56
"Great American Ball Park",2021,17611,187,43500,40.49
"Great American Ball Park",2022,23124,167,43500,53.16
"Great American Ball Park",2021,30231,183,43500,69.5
"Great American Ball Park",2023,19003,147,43500,43.69
"Great American Ball Park",2023,21480,165,43500,49.38
"Great American Ball Park",2024,17542,180,43500,40.33
"Great American Ball Park",2021,7549,266,43500,17.35
"Great American Ball Park",2024,18713,178,43500,43.02
"Great American Ball Park",2022,12029,196,43500,27.65
"Great American Ball Park",2024,17557,155,43500,40.36
"Great American Ball Park",2021,10788,216,43500,24.8
"Great American Ball Park",2022,11291,151,43500,25.96
"Great American Ball Park",2023,31772,201,43500,73.04
"Great American Ball Park",2022,13167,209,43500,30.27
"Great American Ball Park",2021,11581,163,43500,26.62
"Great American Ball Park",2021,8085,200,43500,18.59
"Great American Ball Park",2024,24606,183,43500,56.57
"Great American Ball Park",2024,25601,153,43500,58.85
"Great American Ball Park",2023,26569,210,43500,61.08
"Great American Ball Park",2021,26962,198,43500,61.98
"Great American Ball Park",2021,29340,179,43500,67.45
"Great American Ball Park",2024,20955,184,43500,48.17
"Great American Ball Park",2023,17610,162,43500,40.48
"Great American Ball Park",2023,11941,155,43500,27.45
"Great American Ball Park",2023,23637,145,43500,54.34
"Great American Ball Park",2021,17878,173,43500,41.1
"Great American Ball Park",2022,9338,176,43500,21.47
"Great American Ball Park",2024,11263,122,43500,25.89
"Great American Ball Park",2022,13738,172,43500,31.58
"Great American Ball Park",2022,13578,190,43500,31.21
"Great American Ball Park",2024,22539,132,43500,51.81
"Great American Ball Park",2023,40810,183,43500,93.82
"Great American Ball Park",2024,35619,147,43500,81.88
"Great American Ball Park",2022,23128,224,43500,53.17
"Great American Ball Park",2022,23959,209,43500,55.08
"Great American Ball Park",2021,19106,155,43500,43.92
"Great American Ball Park",2021,16755,237,43500,38.52
"Great American Ball Park",2024,12623,177,43500,29.02
"Great American Ball Park",2022,13271,153,43500,30.51
"Great American Ball Park",2024,26457,184,43500,60.82
"Great American Ball Park",2022,16763,178,43500,38.54
"Great American Ball Park",2023,13399,172,43500,30.8
"Great American Ball Park",2023,20334,172,43500,46.74
"Great American Ball Park",2023,41516,152,43500,95.44
"Great American Ball Park",2021,12423,196,43500,28.56
"Great American Ball Park",2023,31190,148,43500,71.7
"Great American Ball Park",2021,21006,198,43500,48.29
"Great American Ball Park",2024,35430,159,43500,81.45
"Great American Ball Park",2023,27829,137,43500,63.97
"Great American Ball Park",2024,25451,139,43500,58.51
"Great American Ball Park",2021,9097,198,43500,20.91
"Great American Ball Park",2021,15404,217,43500,35.41
"Great American Ball Park",2023,31529,161,43500,72.48
"Great American Ball Park",2021,11656,227,43500,26.8
"Great American Ball Park",2022,12083,174,43500,27.78
"Great American Ball Park",2022,13074,157,43500,30.06
"Great American Ball Park",2023,29870,191,43500,68.67
"Great American Ball Park",2021,11897,219,43500,27.35
"Great American Ball Park",2022,10976,187,43500,25.23
"Great American Ball Park",2023,33828,147,43500,77.77
"Great American Ball Park",2021,16620,232,43500,38.21
"Great American Ball Park",2023,11304,145,43500,25.99
"Great American Ball Park",2022,13540,226,43500,31.13
"Great American Ball Park",2022,21147,173,43500,48.61
"Great American Ball Park",2022,10056,191,43500,23.12
"Great American Ball Park",2023,26195,187,43500,60.22
"Great American Ball Park",2022,28598,193,43500,65.74
"Great American Ball Park",2023,14065,176,43500,32.33
"Great American Ball Park",2023,26290,147,43500,60.44
"Great American Ball Park",2024,19107,119,43500,43.92
"Great American Ball Park",2022,43036,210,43500,98.93
"Great American Ball Park",2024,25678,165,43500,59.03
"Great American Ball Park",2022,9889,170,43500,22.73
"Great American Ball Park",2023,14159,153,43500,32.55
"Great American Ball Park",2021,12551,162,43500,28.85
"Great American Ball Park",2022,16698,207,43500,38.39
"Great American Ball Park",2021,11463,155,43500,26.35
"Great American Ball Park",2024,16620,178,43500,38.21
"Great American Ball Park",2021,10773,167,43500,24.77
"Great American Ball Park",2024,17865,176,43500,41.07
"Great American Ball Park",2024,36098,169,43500,82.98
"Great American Ball Park",2023,15364,133,43500,35.32
"Great American Ball Park",2021,17077,197,43500,39.26
"Great American Ball Park",2022,14937,165,43500,34.34
"Great American Ball Park",2022,17074,200,43500,39.25
"Great American Ball Park",2023,39897,153,43500,91.72
"Great American Ball Park",2024,16836,147,43500,38.7
"Great American Ball Park",2021,18268,191,43500,42
"Great American Ball Park",2022,12437,200,43500,28.59
"Great American Ball Park",2023,29680,202,43500,68.23
"Great American Ball Park",2023,14855,147,43500,34.15
"Great American Ball Park",2023,14421,144,43500,33.15
"Great American Ball Park",2024,32602,134,43500,74.95
"Great American Ball Park",2022,20470,199,43500,47.06
"Great American Ball Park",2023,24186,191,43500,55.6
"Great American Ball Park",2021,19096,193,43500,43.9
"Great American Ball Park",2023,43498,189,43500,100
"Great American Ball Park",2024,10382,168,43500,23.87
"Great American Ball Park",2022,16658,202,43500,38.29
"Great American Ball Park",2023,15978,149,43500,36.73
"Great American Ball Park",2021,16090,201,43500,36.99
"Great American Ball Park",2024,25574,148,43500,58.79
"Great American Ball Park",2021,10365,140,43500,23.83
"Great American Ball Park",2023,12626,159,43500,29.03
"Great American Ball Park",2022,23060,169,43500,53.01
"Great American Ball Park",2022,13156,152,43500,30.24
"Great American Ball Park",2022,17623,181,43500,40.51
"Great American Ball Park",2022,18813,164,43500,43.25
"Great American Ball Park",2024,27881,197,43500,64.09
"Great American Ball Park",2021,10209,197,43500,23.47
"Great American Ball Park",2021,17797,163,43500,40.91
"Great American Ball Park",2022,33301,200,43500,76.55
"Great American Ball Park",2024,27343,170,43500,62.86
"Great American Ball Park",2024,31326,144,43500,72.01
"Great American Ball Park",2021,12497,191,43500,28.73
"Great American Ball Park",2024,29199,173,43500,67.12
"Great American Ball Park",2023,22224,136,43500,51.09
"Great American Ball Park",2021,21947,244,43500,50.45
"Great American Ball Park",2023,12170,154,43500,27.98
"Great American Ball Park",2022,20496,202,43500,47.12
"Great American Ball Park",2024,15967,159,43500,36.71
"Great American Ball Park",2024,28514,164,43500,65.55
"Great American Ball Park",2023,7375,148,43500,16.95
"Great American Ball Park",2021,34844,209,43500,80.1
"Great American Ball Park",2023,40140,208,43500,92.28
"Great American Ball Park",2024,14515,184,43500,33.37
"Great American Ball Park",2022,21418,169,43500,49.24
"Great American Ball Park",2021,16332,230,43500,37.54
"Great American Ball Park",2023,41374,179,43500,95.11
"Great American Ball Park",2024,24797,135,43500,57
"Great American Ball Park",2024,20077,169,43500,46.15
"Great American Ball Park",2021,37204,277,43500,85.53
"Great American Ball Park",2023,37714,147,43500,86.7
"Great American Ball Park",2023,10256,154,43500,23.58
"Great American Ball Park",2024,28307,158,43500,65.07
"Great American Ball Park",2024,37501,130,43500,86.21
"Great American Ball Park",2023,26201,148,43500,60.23
"Great American Ball Park",2021,30605,223,43500,70.36
"Great American Ball Park",2024,13653,155,43500,31.39
"Great American Ball Park",2023,38461,161,43500,88.42
"Great American Ball Park",2024,34750,145,43500,79.89
"Great American Ball Park",2024,31803,173,43500,73.11
"Great American Ball Park",2024,33202,142,43500,76.33
"Great American Ball Park",2021,10892,168,43500,25.04
"Great American Ball Park",2021,8745,172,43500,20.1
"Great American Ball Park",2023,25543,154,43500,58.72
"Great American Ball Park",2022,11512,192,43500,26.46
"Great American Ball Park",2021,17234,209,43500,39.62
"Great American Ball Park",2024,16479,195,43500,37.88
"Great American Ball Park",2024,12065,147,43500,27.74
"Great American Ball Park",2024,28075,136,43500,64.54
"Great American Ball Park",2022,26529,198,43500,60.99
"Great American Ball Park",2023,30895,178,43500,71.02
"Great American Ball Park",2022,19533,194,43500,44.9
"Great American Ball Park",2023,44063,182,43500,101.29
"Great American Ball Park",2023,38246,161,43500,87.92
"Great American Ball Park",2022,19000,196,43500,43.68
"Great American Ball Park",2023,17389,148,43500,39.97
"Great American Ball Park",2023,19797,167,43500,45.51
"Great American Ball Park",2022,12948,196,43500,29.77
"Great American Ball Park",2022,9575,181,43500,22.01
"Great American Ball Park",2024,21682,138,43500,49.84
"Great American Ball Park",2023,14515,155,43500,33.37
"Great American Ball Park",2022,13613,288,43500,31.29
"Great American Ball Park",2022,14506,220,43500,33.35
"Great American Ball Park",2024,15786,177,43500,36.29
"Great American Ball Park",2024,22450,138,43500,51.61
"Great American Ball Park",2022,13086,169,43500,30.08
"Great American Ball Park",2021,11629,180,43500,26.73
"Great American Ball Park",2024,18996,138,43500,43.67
"Great American Ball Park",2023,20994,166,43500,48.26
"Great American Ball Park",2021,31297,195,43500,71.95
"Great American Ball Park",2023,41059,150,43500,94.39
"Great American Ball Park",2024,16126,143,43500,37.07
"Great American Ball Park",2024,18959,140,43500,43.58
"Great American Ball Park",2023,28291,171,43500,65.04
"Great American Ball Park",2021,16922,181,43500,38.9
"Great American Ball Park",2022,23658,209,43500,54.39
"Great American Ball Park",2024,34103,178,43500,78.4
"Great American Ball Park",2021,23083,174,43500,53.06
"Great American Ball Park",2021,21328,223,43500,49.03
"Great American Ball Park",2023,13115,182,43500,30.15
"Great American Ball Park",2024,14485,147,43500,33.3
"Great American Ball Park",2024,32500,146,43500,74.71
"Great American Ball Park",2021,19393,197,43500,44.58
"Great American Ball Park",2022,33927,240,43500,77.99
"Great American Ball Park",2024,14255,131,43500,32.77
"Great American Ball Park",2021,17080,285,43500,39.26
"Great American Ball Park",2024,44030,138,43500,101.22
"Great American Ball Park",2023,43086,193,43500,99.05
"Great American Ball Park",2022,21748,199,43500,50
"Great American Ball Park",2022,10046,198,43500,23.09
"Great American Ball Park",2022,9267,189,43500,21.3
"Great American Ball Park",2022,9192,208,43500,21.13
"Great American Ball Park",2023,13423,171,43500,30.86
"Great American Ball Park",2023,17863,197,43500,41.06
"Great American Ball Park",2023,9194,195,43500,21.14
"Great American Ball Park",2022,11449,185,43500,26.32
"Great American Ball Park",2023,20338,170,43500,46.75
"Great American Ball Park",2021,10326,187,43500,23.74
"Great American Ball Park",2021,16171,210,43500,37.17
"Great American Ball Park",2024,40274,152,43500,92.58
"Great American Ball Park",2024,26219,166,43500,60.27
"Great American Ball Park",2022,21448,226,43500,49.31
"Great American Ball Park",2022,26655,180,43500,61.28
"Great American Ball Park",2024,15873,140,43500,36.49
"Great American Ball Park",2022,14386,192,43500,33.07
"Great American Ball Park",2024,40541,141,43500,93.2
"Great American Ball Park",2021,20505,189,43500,47.14
"Great American Ball Park",2022,20472,177,43500,47.06
"Great American Ball Park",2022,21989,194,43500,50.55
"Great American Ball Park",2021,34433,172,43500,79.16
"Great American Ball Park",2022,10449,215,43500,24.02
"Great American Ball Park",2022,29104,174,43500,66.91
"Great American Ball Park",2021,11055,191,43500,25.41
"Great American Ball Park",2021,18293,221,43500,42.05
"Great American Ball Park",2024,15660,162,43500,36
"Great American Ball Park",2024,20071,178,43500,46.14
"Great American Ball Park",2021,12598,205,43500,28.96
"Great American Ball Park",2024,25562,165,43500,58.76
"Great American Ball Park",2021,33489,175,43500,76.99
"Great American Ball Park",2023,25860,159,43500,59.45
"Great American Ball Park",2021,11093,155,43500,25.5
"Great American Ball Park",2024,14436,190,43500,33.19
"Great American Ball Park",2022,10445,230,43500,24.01
"Great American Ball Park",2021,9475,216,43500,21.78
"Great American Ball Park",2021,16828,195,43500,38.69
"Great American Ball Park",2024,22488,160,43500,51.7
"Great American Ball Park",2023,28504,158,43500,65.53
"Great American Ball Park",2021,27804,161,43500,63.92
"Great American Ball Park",2023,39284,170,43500,90.31
"Great American Ball Park",2023,9969,154,43500,22.92
"Great American Ball Park",2023,10205,145,43500,23.46
"Great American Ball Park",2024,20733,159,43500,47.66
"Great American Ball Park",2021,12264,211,43500,28.19
"Great American Ball Park",2023,23467,150,43500,53.95
"Great American Ball Park",2024,42427,155,43500,97.53
"Great American Ball Park",2021,18396,217,43500,42.29
"Great American Ball Park",2022,25547,201,43500,58.73
"Great American Ball Park",2024,31514,157,43500,72.45
"Guaranteed Rate Field",2023,37079,162,40615,91.29
"Guaranteed Rate Field",2022,28142,170,40615,69.29
"Guaranteed Rate Field",2022,31072,166,40615,76.5
"Guaranteed Rate Field",2021,9285,212,40615,22.86
"Guaranteed Rate Field",2024,19334,205,40615,47.6
"Guaranteed Rate Field",2022,38080,234,40615,93.76
"Guaranteed Rate Field",2022,23242,237,40615,57.23
"Guaranteed Rate Field",2021,16903,163,40615,41.62
"Guaranteed Rate Field",2021,9471,199,40615,23.32
"Guaranteed Rate Field",2023,17641,151,40615,43.43
"Guaranteed Rate Field",2022,30221,243,40615,74.41
"Guaranteed Rate Field",2023,25793,175,40615,63.51
"Guaranteed Rate Field",2024,19684,152,40615,48.46
"Guaranteed Rate Field",2021,20068,156,40615,49.41
"Guaranteed Rate Field",2023,18963,146,40615,46.69
"Guaranteed Rate Field",2022,16654,187,40615,41
"Guaranteed Rate Field",2024,13607,143,40615,33.5
"Guaranteed Rate Field",2024,12216,168,40615,30.08
"Guaranteed Rate Field",2023,20258,153,40615,49.88
"Guaranteed Rate Field",2022,11242,200,40615,27.68
"Guaranteed Rate Field",2022,32830,207,40615,80.83
"Guaranteed Rate Field",2022,33257,184,40615,81.88
"Guaranteed Rate Field",2024,26248,171,40615,64.63
"Guaranteed Rate Field",2022,21075,178,40615,51.89
"Guaranteed Rate Field",2022,33054,160,40615,81.38
"Guaranteed Rate Field",2024,12669,126,40615,31.19
"Guaranteed Rate Field",2022,23709,199,40615,58.37
"Guaranteed Rate Field",2024,15678,150,40615,38.6
"Guaranteed Rate Field",2024,24422,138,40615,60.13
"Guaranteed Rate Field",2023,16681,156,40615,41.07
"Guaranteed Rate Field",2024,25070,148,40615,61.73
"Guaranteed Rate Field",2023,21048,175,40615,51.82
"Guaranteed Rate Field",2022,29781,170,40615,73.33
"Guaranteed Rate Field",2022,29215,155,40615,71.93
"Guaranteed Rate Field",2022,17798,215,40615,43.82
"Guaranteed Rate Field",2022,25482,253,40615,62.74
"Guaranteed Rate Field",2024,11285,155,40615,27.79
"Guaranteed Rate Field",2024,21490,156,40615,52.91
"Guaranteed Rate Field",2021,17703,214,40615,43.59
"Guaranteed Rate Field",2021,36123,222,40615,88.94
"Guaranteed Rate Field",2021,14629,194,40615,36.02
"Guaranteed Rate Field",2021,37696,228,40615,92.81
"Guaranteed Rate Field",2022,30831,151,40615,75.91
"Guaranteed Rate Field",2023,15275,165,40615,37.61
"Guaranteed Rate Field",2022,31096,257,40615,76.56
"Guaranteed Rate Field",2021,38477,260,40615,94.74
"Guaranteed Rate Field",2024,38341,176,40615,94.4
"Guaranteed Rate Field",2021,32189,211,40615,79.25
"Guaranteed Rate Field",2023,29851,153,40615,73.5
"Guaranteed Rate Field",2022,17168,163,40615,42.27
"Guaranteed Rate Field",2023,20893,169,40615,51.44
"Guaranteed Rate Field",2023,17049,204,40615,41.98
"Guaranteed Rate Field",2023,11060,164,40615,27.23
"Guaranteed Rate Field",2023,19554,167,40615,48.14
"Guaranteed Rate Field",2021,8969,224,40615,22.08
"Guaranteed Rate Field",2023,26299,146,40615,64.75
"Guaranteed Rate Field",2023,18459,144,40615,45.45
"Guaranteed Rate Field",2021,8556,178,40615,21.07
"Guaranteed Rate Field",2022,15257,202,40615,37.56
"Guaranteed Rate Field",2023,23556,146,40615,58
"Guaranteed Rate Field",2022,36948,202,40615,90.97
"Guaranteed Rate Field",2022,23606,160,40615,58.12
"Guaranteed Rate Field",2021,9886,201,40615,24.34
"Guaranteed Rate Field",2021,7695,234,40615,18.95
"Guaranteed Rate Field",2023,14824,193,40615,36.5
"Guaranteed Rate Field",2022,29191,155,40615,71.87
"Guaranteed Rate Field",2023,24964,162,40615,61.46
"Guaranteed Rate Field",2024,11852,168,40615,29.18
"Guaranteed Rate Field",2022,12291,174,40615,30.26
"Guaranteed Rate Field",2023,26446,167,40615,65.11
"Guaranteed Rate Field",2023,24495,161,40615,60.31
"Guaranteed Rate Field",2021,24944,229,40615,61.42
"Guaranteed Rate Field",2023,21033,147,40615,51.79
"Guaranteed Rate Field",2022,24896,242,40615,61.3
"Guaranteed Rate Field",2022,31655,141,40615,77.94
"Guaranteed Rate Field",2021,9451,182,40615,23.27
"Guaranteed Rate Field",2021,38668,165,40615,95.21
"Guaranteed Rate Field",2023,22135,163,40615,54.5
"Guaranteed Rate Field",2022,22891,152,40615,56.36
"Guaranteed Rate Field",2024,10323,161,40615,25.42
"Guaranteed Rate Field",2024,10402,153,40615,25.61
"Guaranteed Rate Field",2022,24361,172,40615,59.98
"Guaranteed Rate Field",2022,24671,186,40615,60.74
"Guaranteed Rate Field",2022,32154,177,40615,79.17
"Guaranteed Rate Field",2021,34148,148,40615,84.08
"Guaranteed Rate Field",2022,12031,200,40615,29.62
"Guaranteed Rate Field",2022,28877,201,40615,71.1
"Guaranteed Rate Field",2021,7148,160,40615,17.6
"Guaranteed Rate Field",2024,10569,137,40615,26.02
"Guaranteed Rate Field",2022,21835,221,40615,53.76
"Guaranteed Rate Field",2024,17589,177,40615,43.31
"Guaranteed Rate Field",2024,11609,184,40615,28.58
"Guaranteed Rate Field",2024,22815,180,40615,56.17
"Guaranteed Rate Field",2022,17168,253,40615,42.27
"Guaranteed Rate Field",2022,25078,156,40615,61.75
"Guaranteed Rate Field",2024,21037,178,40615,51.8
"Guaranteed Rate Field",2024,18423,173,40615,45.36
"Guaranteed Rate Field",2022,37820,183,40615,93.12
"Guaranteed Rate Field",2021,9671,198,40615,23.81
"Guaranteed Rate Field",2022,23476,190,40615,57.8
"Guaranteed Rate Field",2023,18673,159,40615,45.98
"Guaranteed Rate Field",2023,10149,143,40615,24.99
"Guaranteed Rate Field",2021,22793,194,40615,56.12
"Guaranteed Rate Field",2021,34304,171,40615,84.46
"Guaranteed Rate Field",2024,17478,161,40615,43.03
"Guaranteed Rate Field",2022,12363,162,40615,30.44
"Guaranteed Rate Field",2024,28009,179,40615,68.96
"Guaranteed Rate Field",2023,30059,203,40615,74.01
"Guaranteed Rate Field",2024,17100,152,40615,42.1
"Guaranteed Rate Field",2021,9405,175,40615,23.16
"Guaranteed Rate Field",2023,32091,201,40615,79.01
"Guaranteed Rate Field",2022,27113,170,40615,66.76
"Guaranteed Rate Field",2022,18393,227,40615,45.29
"Guaranteed Rate Field",2021,21637,207,40615,53.27
"Guaranteed Rate Field",2021,7962,203,40615,19.6
"Guaranteed Rate Field",2023,11468,162,40615,28.24
"Guaranteed Rate Field",2024,16928,177,40615,41.68
"Guaranteed Rate Field",2022,21876,180,40615,53.86
"Guaranteed Rate Field",2023,28462,173,40615,70.08
"Guaranteed Rate Field",2024,10975,160,40615,27.02
"Guaranteed Rate Field",2021,18272,114,40615,44.99
"Guaranteed Rate Field",2021,8207,168,40615,20.21
"Guaranteed Rate Field",2021,21719,185,40615,53.48
"Guaranteed Rate Field",2023,12542,129,40615,30.88
"Guaranteed Rate Field",2024,11429,170,40615,28.14
"Guaranteed Rate Field",2021,34344,165,40615,84.56
"Guaranteed Rate Field",2024,18017,133,40615,44.36
"Guaranteed Rate Field",2021,38565,180,40615,94.95
"Guaranteed Rate Field",2024,16887,138,40615,41.58
"Guaranteed Rate Field",2023,13794,166,40615,33.96
"Guaranteed Rate Field",2024,10495,142,40615,25.84
"Guaranteed Rate Field",2024,17319,135,40615,42.64
"Guaranteed Rate Field",2024,38127,171,40615,93.87
"Guaranteed Rate Field",2022,26329,186,40615,64.83
"Guaranteed Rate Field",2022,19753,155,40615,48.63
"Guaranteed Rate Field",2023,27574,160,40615,67.89
"Guaranteed Rate Field",2023,29769,163,40615,73.3
"Guaranteed Rate Field",2023,33054,166,40615,81.38
"Guaranteed Rate Field",2024,23662,169,40615,58.26
"Guaranteed Rate Field",2021,9928,201,40615,24.44
"Guaranteed Rate Field",2023,27015,147,40615,66.51
"Guaranteed Rate Field",2021,19410,196,40615,47.79
"Guaranteed Rate Field",2024,15529,132,40615,38.23
"Guaranteed Rate Field",2021,34365,228,40615,84.61
"Guaranteed Rate Field",2023,26077,156,40615,64.21
"Guaranteed Rate Field",2023,16070,186,40615,39.57
"Guaranteed Rate Field",2021,34516,187,40615,84.98
"Guaranteed Rate Field",2022,27664,195,40615,68.11
"Guaranteed Rate Field",2024,17606,126,40615,43.35
"Guaranteed Rate Field",2024,21199,160,40615,52.2
"Guaranteed Rate Field",2022,19009,171,40615,46.8
"Guaranteed Rate Field",2024,36225,122,40615,89.19
"Guaranteed Rate Field",2023,15593,159,40615,38.39
"Guaranteed Rate Field",2021,21025,166,40615,51.77
"Guaranteed Rate Field",2021,8393,225,40615,20.66
"Guaranteed Rate Field",2021,21067,161,40615,51.87
"Guaranteed Rate Field",2022,24818,197,40615,61.11
"Guaranteed Rate Field",2021,30722,196,40615,75.64
"Guaranteed Rate Field",2023,15759,194,40615,38.8
"Guaranteed Rate Field",2022,17500,175,40615,43.09
"Guaranteed Rate Field",2024,10772,154,40615,26.52
"Guaranteed Rate Field",2022,25625,169,40615,63.09
"Guaranteed Rate Field",2024,18831,177,40615,46.36
"Guaranteed Rate Field",2024,14112,141,40615,34.75
"Guaranteed Rate Field",2022,24270,179,40615,59.76
"Guaranteed Rate Field",2021,37892,249,40615,93.3
"Guaranteed Rate Field",2024,10412,136,40615,25.64
"Guaranteed Rate Field",2022,18205,153,40615,44.82
"Guaranteed Rate Field",2024,11008,136,40615,27.1
"Guaranteed Rate Field",2021,23589,178,40615,58.08
"Guaranteed Rate Field",2022,27943,175,40615,68.8
"Guaranteed Rate Field",2023,24674,162,40615,60.75
"Guaranteed Rate Field",2023,14790,148,40615,36.42
"Guaranteed Rate Field",2021,7628,162,40615,18.78
"Guaranteed Rate Field",2022,33762,175,40615,83.13
"Guaranteed Rate Field",2022,23395,153,40615,57.6
"Guaranteed Rate Field",2022,17130,201,40615,42.18
"Guaranteed Rate Field",2022,28503,174,40615,70.18
"Guaranteed Rate Field",2021,9823,150,40615,24.19
"Guaranteed Rate Field",2022,18918,166,40615,46.58
"Guaranteed Rate Field",2022,33015,173,40615,81.29
"Guaranteed Rate Field",2024,23570,167,40615,58.03
"Guaranteed Rate Field",2023,23599,169,40615,58.1
"Guaranteed Rate Field",2022,18518,178,40615,45.59
"Guaranteed Rate Field",2023,18001,176,40615,44.32
"Guaranteed Rate Field",2022,29458,166,40615,72.53
"Guaranteed Rate Field",2021,12845,149,40615,31.63
"Guaranteed Rate Field",2022,18566,179,40615,45.71
"Guaranteed Rate Field",2023,13233,153,40615,32.58
"Guaranteed Rate Field",2023,20236,156,40615,49.82
"Guaranteed Rate Field",2024,20437,159,40615,50.32
"Guaranteed Rate Field",2021,35866,217,40615,88.31
"Guaranteed Rate Field",2023,23984,141,40615,59.05
"Guaranteed Rate Field",2023,23372,149,40615,57.55
"Guaranteed Rate Field",2021,37854,252,40615,93.2
"Guaranteed Rate Field",2021,23018,161,40615,56.67
"Guaranteed Rate Field",2024,10881,198,40615,26.79
"Guaranteed Rate Field",2024,14435,170,40615,35.54
"Guaranteed Rate Field",2022,13112,159,40615,32.28
"Guaranteed Rate Field",2022,36177,181,40615,89.07
"Guaranteed Rate Field",2024,14124,140,40615,34.78
"Guaranteed Rate Field",2021,16380,203,40615,40.33
"Guaranteed Rate Field",2022,32483,193,40615,79.98
"Guaranteed Rate Field",2021,22780,200,40615,56.09
"Guaranteed Rate Field",2024,22283,171,40615,54.86
"Guaranteed Rate Field",2021,17382,200,40615,42.8
"Guaranteed Rate Field",2021,36178,177,40615,89.08
"Guaranteed Rate Field",2022,22482,175,40615,55.35
"Guaranteed Rate Field",2021,30017,173,40615,73.91
"Guaranteed Rate Field",2024,13781,149,40615,33.93
"Guaranteed Rate Field",2021,20029,132,40615,49.31
"Guaranteed Rate Field",2024,16501,167,40615,40.63
"Guaranteed Rate Field",2023,17015,167,40615,41.89
"Guaranteed Rate Field",2022,29215,176,40615,71.93
"Guaranteed Rate Field",2024,16763,122,40615,41.27
"Guaranteed Rate Field",2023,26560,148,40615,65.39
"Guaranteed Rate Field",2023,26654,149,40615,65.63
"Guaranteed Rate Field",2021,36320,185,40615,89.43
"Guaranteed Rate Field",2022,29500,152,40615,72.63
"Guaranteed Rate Field",2021,30729,205,40615,75.66
"Guaranteed Rate Field",2023,37214,198,40615,91.63
"Guaranteed Rate Field",2024,14992,151,40615,36.91
"Guaranteed Rate Field",2022,19406,187,40615,47.78
"Guaranteed Rate Field",2024,19548,131,40615,48.13
