"Stadium_Name","Year","Spectator_Count","Game_Length"
"Wrigley Field",2024,29595,145
"Great American Ballpark",2024,22539,132
"Dodger Stadium",2024,44783,183
"Citizens Bank Park",2024,39069,138
"PNC Park",2024,17959,142
"Petco Park",2024,44890,177
"Oracle Park",2024,33921,180
"Busch Stadium III",2024,40147,182
"Nationals Park",2024,22999,172
"Progressive Field",2024,16262,135
"Kauffman Stadium",2024,17073,162
"Target Field",2024,13849,152
"Yankee Stadium II",2024,36055,160
"Truist Park",2024,41744,152
"Wrigley Field",2024,36379,158
"Wrigley Field",2024,32386,142
"Great American Ballpark",2024,27343,170
"Coors Field",2024,25376,152
"Dodger Stadium",2024,45373,200
"Citizens Bank Park",2024,44546,183
"PNC Park",2024,26025,168
"Petco Park",2024,43273,156
"Oracle Park",2024,31063,154
"Busch Stadium III",2024,41949,181
"Nationals Park",2024,34608,165
"Progressive Field",2024,19487,156
"Kauffman Stadium",2024,23118,184
"Target Field",2024,20064,147
"Yankee Stadium II",2024,47629,145
"Truist Park",2024,36581,148
"Wrigley Field",2024,36067,154
"Great American Ballpark",2024,25935,156
"Coors Field",2024,33283,177
"Coors Field",2024,19756,153
"Dodger Stadium",2024,49287,138
"Citizens Bank Park",2024,43614,157
"PNC Park",2024,18814,172
"Petco Park",2024,44527,151
"Oracle Park",2024,35922,160
"Busch Stadium III",2024,40715,154
"Nationals Park",2024,23193,140
"Progressive Field",2024,16905,159
"Kauffman Stadium",2024,18044,161
"Target Field",2024,17757,157
"Yankee Stadium II",2024,40022,162
"Truist Park",2024,31572,136
"Great American Ballpark",2024,11263,122
"Coors Field",2024,18515,135
"PNC Park",2024,8461,152
"Oracle Park",2024,24138,145
"Busch Stadium III",2024,33036,150
"Angel Stadium of Anaheim",2024,26081,156
"Kauffman Stadium",2024,10004,143
"Target Field",2024,12443,139
"Yankee Stadium II",2024,30366,152
"Tropicana Field",2024,13522,136
"Truist Park",2024,33533,114
"Wrigley Field",2024,30643,157
